psr,source_file,P_s,DM_LOTAAS,sigma,S135_cor,S135_exp,ra_deg,dec_deg,DM_atnf,P0_atnf
J1242+39,redetect.dat,1.3103,26.5,32.5,5.9,0.0,190.64166666666662,39.63333333333333,26.0,1.31
J1246+2253,redetect.dat,0.4739,17.8,18.8,5.7,3.9,191.70567916666667,22.895352777777777,17.792,0.47387055751829316
J1313+0931,redetect.dat,0.8489,12.1,71.1,42.0,0.0,198.3458333333333,9.532222222222224,12.04062,0.84893275073
J1327+34,redetect.dat,0.0415,4.2,121.3,108.4,0.0,,,,
J1411+2551,redetect.dat,0.0625,12.4,10.3,5.3,0.0,212.8286083333333,25.852330555555557,12.3737,0.06245289551759
J1434+7257,redetect.dat,0.0417,12.6,43.8,24.8,5.9,218.49889083333332,72.95735972222222,12.6118,0.04174114787976419
J1518+4904,redetect.dat,0.0409,11.6,50.4,47.5,32.8,229.56999618333333,49.07618088611112,11.61139,0.04093498890833287
J1549+2113,redetect.dat,1.2625,24.1,36.9,11.9,8.7,237.42058749999998,21.224138888888888,24.055,1.262471311613
J1627+1419,redetect.dat,0.4909,32.2,59.2,65.1,92.3,246.82816249999996,14.322416666666667,32.167,0.490856730096
J1628+4406,redetect.dat,0.1812,7.3,11.4,13.2,0.0,247.20962477787495,44.11183459313056,7.32981,0.18117848994714758
J1645+1012,redetect.dat,0.4109,36.2,49.1,42.9,94.7,251.39339583333327,10.204455555555555,36.17129,0.410860719379
J1647+6608,redetect.dat,1.5998,22.5,25.5,7.8,0.0,251.885493397,66.13951083717778,22.55,1.5997983753630112
J1649+2533,redetect.dat,1.0153,34.5,22.8,9.6,13.5,252.43429166666667,25.551944444444445,34.462,1.0152573918
J1652+2651,redetect.dat,0.9158,40.7,18.8,5.8,22.2,253.01279166666663,26.861222222222224,40.80244,0.9158034972
J1706+59,redetect.dat,1.4766,30.6,69.2,15.7,0.0,256.75,59.166666666666664,30.8,1.47669
J1736+05,redetect.dat,0.9992,38.7,15.0,19.4,0.0,264.225,5.8,42.0,0.999245
J1741+2758,redetect.dat,1.3607,29.1,49.4,21.6,33.7,265.47295833333334,27.969166666666666,29.14487,1.3607376877
J1746+2540,redetect.dat,1.0582,51.3,8.8,8.9,3.9,266.5286249999999,25.677083333333336,51.204,1.0581481703
J1752+2359,redetect.dat,0.4091,36.2,21.9,7.6,6.1,268.14758333333333,23.996722222222225,36.1964,0.409050865044
J1758+3030,redetect.dat,0.9473,35.1,69.9,66.1,66.3,269.60783333333325,30.506666666666668,35.0674,0.94725581104
J1800+5034,redetect.dat,0.5784,22.7,17.3,6.6,0.0,270.1848742604166,50.57271226710556,22.71,0.5783751011451423
J1806+2819,redetect.dat,0.0151,18.7,100.2,47.8,0.0,271.60444083333334,28.31697638888889,18.6802,0.01508366732422
J1811+0702,redetect.dat,0.4617,58.3,7.9,12.1,10.1,272.83508333333333,7.0415833333333335,57.8,0.46171267661
J1814+1130,redetect.dat,0.7513,64.6,14.9,8.9,3.3,273.67809166666666,11.512208333333334,65.0,0.751261115038
J1815+5546,redetect.dat,0.4268,59.0,15.1,3.9,0.0,273.7739090867083,55.773141763144444,58.999,0.4268438270611147
J1821+1715,redetect.dat,1.3667,60.2,17.0,15.5,11.6,275.3062625,17.263072222222224,60.284,1.366682059422
J1821+4147,redetect.dat,1.2619,40.7,36.2,6.9,0.0,275.46809913225,41.784042907063885,40.673,1.2618572091336433
J1822+0705,redetect.dat,1.3628,62.4,19.9,21.9,17.4,275.576836444125,7.088617360961111,62.2,1.362817392033239
J1832+27,redetect.dat,0.6317,47.4,7.7,6.7,0.0,278.04166666666663,27.966666666666665,48.0,0.6318
J1836+51,redetect.dat,0.6919,43.8,16.4,4.8,0.0,279.0,51.0,44.4,0.692
